# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.321153336893e-10       6.401195871802e-15       4.043160410531e-13       0.000000000000e+00 
    3       1.249688095689e-10       1.006512856573e-14       4.995219346581e-13       0.000000000000e+00 
    4       1.179693100084e-10       1.079900730842e-14       5.062594054270e-13       0.000000000000e+00 
    5       1.125823975826e-10       9.060230351247e-15       4.633385338259e-13       0.000000000000e+00 
    6       1.087583627113e-10       6.269391214821e-15       3.974170159402e-13       0.000000000000e+00 
    7       1.062003919451e-10       3.732254109932e-15       3.264730193479e-13       0.000000000000e+00 
    8       1.047124166164e-10       2.079157634564e-15       2.609585225323e-13       0.000000000000e+00 
    9       1.039580658435e-10       1.293254323837e-15       2.068423756079e-13       0.000000000000e+00 
   10       1.038218146628e-10       1.030910685975e-15       1.668327513926e-13       0.000000000000e+00 
   11       1.041340371895e-10       9.461234085151e-16       1.410154643419e-13       0.000000000000e+00 
   12       1.047870942515e-10       8.559767665207e-16       1.277905074046e-13       0.000000000000e+00 
   13       1.057134264648e-10       7.376202431937e-16       1.245139714529e-13       0.000000000000e+00 
   14       1.068776631634e-10       6.397212226465e-16       1.281009828614e-13       0.000000000000e+00 
   15       1.082031237255e-10       5.998868054052e-16       1.356219316522e-13       0.000000000000e+00 
   16       1.096572445869e-10       6.142104018239e-16       1.446863329004e-13       0.000000000000e+00 
   17       1.112217014461e-10       6.529186602582e-16       1.536572551681e-13       0.000000000000e+00 
   18       1.129058527498e-10       6.887678875030e-16       1.616543021266e-13       0.000000000000e+00 
   19       1.146980402253e-10       7.221117784662e-16       1.685191173113e-13       0.000000000000e+00 
   20       1.165270283554e-10       7.640047591418e-16       1.743734902648e-13       0.000000000000e+00 
   21       1.184106334184e-10       8.293654783190e-16       1.796800453321e-13       0.000000000000e+00 
   22       1.203650917235e-10       9.332356372902e-16       1.850680662725e-13       0.000000000000e+00 
   23       1.223820883397e-10       1.074680711397e-15       1.909169773131e-13       0.000000000000e+00 
   24       1.244285270221e-10       1.246337448503e-15       1.974920976407e-13       0.000000000000e+00 
   25       1.265152137134e-10       1.444133648232e-15       2.048027895147e-13       0.000000000000e+00 
   26       1.286508584944e-10       1.664818109215e-15       2.126845389377e-13       0.000000000000e+00 
   27       1.308289974220e-10       1.908665874538e-15       2.207405069904e-13       0.000000000000e+00 
   28       1.330307895874e-10       2.176514218108e-15       2.284451421923e-13       0.000000000000e+00 
   29       1.352638267069e-10       2.466964057803e-15       2.353857833163e-13       0.000000000000e+00 
   30       1.375337126281e-10       2.777322971130e-15       2.411176017763e-13       0.000000000000e+00 
   31       1.398362019117e-10       3.105290737616e-15       2.452060013442e-13       0.000000000000e+00 
   32       1.421732301959e-10       3.453588522879e-15       2.475956823528e-13       0.000000000000e+00 
   33       1.445403641206e-10       3.827150338977e-15       2.483841136506e-13       0.000000000000e+00 
   34       1.469266035674e-10       4.231057091980e-15       2.477162842591e-13       0.000000000000e+00 
   35       1.493328707676e-10       4.667226478120e-15       2.457325471943e-13       0.000000000000e+00 
   36       1.517583542327e-10       5.136584592320e-15       2.426091535584e-13       0.000000000000e+00 
   37       1.541990445469e-10       5.639891594516e-15       2.385207755635e-13       0.000000000000e+00 
   38       1.566622506366e-10       6.177625527258e-15       2.334527057849e-13       0.000000000000e+00 
   39       1.591558822254e-10       6.750036376928e-15       2.273274084421e-13       0.000000000000e+00 
   40       1.616839722935e-10       7.357158035862e-15       2.200533353812e-13       0.000000000000e+00 
   41       1.642467618717e-10       7.998953089421e-15       2.115203411593e-13       0.000000000000e+00 
   42       1.668421016288e-10       8.675839775978e-15       2.015869038761e-13       0.000000000000e+00 
   43       1.694637265552e-10       9.388311425516e-15       1.900868043675e-13       0.000000000000e+00 
   44       1.721003291683e-10       1.013678765323e-14       1.768308362899e-13       0.000000000000e+00 
   45       1.747402995044e-10       1.092165269751e-14       1.616521793666e-13       0.000000000000e+00 
   46       1.773886379394e-10       1.174339339215e-14       1.445619392707e-13       0.000000000000e+00 
   47       1.800543746135e-10       1.260249573607e-14       1.256377661294e-13       0.000000000000e+00 
   48       1.827457179523e-10       1.349940472552e-14       1.049824229681e-13       0.000000000000e+00 
   49       1.854699265262e-10       1.443452284655e-14       8.272510133991e-14       0.000000000000e+00 
   50       1.882322520453e-10       1.540822058427e-14       5.898565471315e-14       0.000000000000e+00 
