# Matter power spectrum P(k) at redshift z=0
# for k=1.02818e-05 to 1.74161 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028183696952e-05       4.983780919034e+01 
       2.292350168003e-05       9.123450260683e+01 
       3.560805715604e-05       1.403154948716e+02 
       4.836837341442e-05       1.909880205200e+02 
       6.123784486835e-05       2.418129688172e+02 
       7.425067717607e-05       2.931124177583e+02 
       8.744218294589e-05       3.453097457048e+02 
       1.008490900964e-04       3.984488165309e+02 
       1.145098667005e-04       4.523766511887e+02 
       1.284650661748e-04       5.074419853108e+02 
       1.427576966848e-04       5.638254661907e+02 
       1.574336186015e-04       6.216741495447e+02 
       1.725419737064e-04       6.813037957983e+02 
       1.881356495639e-04       7.427166458995e+02 
       2.042717819631e-04       8.062965486490e+02 
       2.210122974912e-04       8.721934301126e+02 
       2.384244969892e-04       9.407261136359e+02 
       2.565816786974e-04       1.012153567354e+03 
       2.755637970918e-04       1.086753313830e+03 
       2.954581494984e-04       1.164897985512e+03 
       3.163600772236e-04       1.246930488189e+03 
       3.383736608398e-04       1.333225242677e+03 
       3.616123800679e-04       1.424254602710e+03 
       3.861996971600e-04       1.520438623200e+03 
       4.122695087047e-04       1.622287749425e+03 
       4.399663946280e-04       1.730346866342e+03 
       4.694455756608e-04       1.845168920899e+03 
       5.008724733789e-04       1.967354720023e+03 
       5.344217529487e-04       2.097537464606e+03 
       5.702757221762e-04       2.236353482483e+03 
       6.086219670327e-04       2.384452503210e+03 
       6.496501300878e-04       2.542475772954e+03 
       6.935477905333e-04       2.711042297834e+03 
       7.404954866118e-04       2.890718297547e+03 
       7.906610318240e-04       3.082000321445e+03 
       8.441934055713e-04       3.285288885627e+03 
       9.012166272098e-04       3.500881395878e+03 
       9.618241216255e-04       3.728917240883e+03 
       1.026074123350e-03       3.969374228630e+03 
       1.093986620674e-03       4.222089821241e+03 
       1.165542204353e-03       4.486707147106e+03 
       1.240682974543e-03       4.762720816493e+03 
       1.319315414168e-03       5.049454761755e+03 
       1.401314908093e-03       5.346183012662e+03 
       1.486531421799e-03       5.652044331941e+03 
       1.574795778222e-03       5.966126362127e+03 
       1.665925989112e-03       6.287469187457e+03 
       1.759733188019e-03       6.615099449309e+03 
       1.856026843798e-03       6.948070739903e+03 
       1.954619074101e-03       7.285461839979e+03 
       2.055328002862e-03       7.626394507871e+03 
       2.157980200529e-03       7.970066129793e+03 
       2.262412307106e-03       8.315644771565e+03 
       2.368471969374e-03       8.662493535351e+03 
       2.476018231820e-03       9.009919598075e+03 
       2.584921513469e-03       9.357360797117e+03 
       2.695063286812e-03       9.704278769413e+03 
       2.806335555294e-03       1.005020219474e+04 
       2.918640205911e-03       1.039469476837e+04 
       3.031888295248e-03       1.073742565269e+04 
       3.145999311716e-03       1.107804253792e+04 
       3.260900444104e-03       1.141623296192e+04 
       3.376525876614e-03       1.175172744044e+04 
       3.492816123071e-03       1.208436372238e+04 
       3.609717407442e-03       1.241386817440e+04 
       3.727181093874e-03       1.274011393443e+04 
       3.845163166726e-03       1.306290134041e+04 
       3.963623759263e-03       1.338217619482e+04 
       4.082526728556e-03       1.369775078432e+04 
       4.201839273477e-03       1.400956687501e+04 
       4.321531592347e-03       1.431751970559e+04 
       4.441576576737e-03       1.462151740111e+04 
       4.561949537976e-03       1.492156611602e+04 
       4.682627963086e-03       1.521754920803e+04 
       4.803591297067e-03       1.550945128778e+04 
       4.924820748732e-03       1.579721528020e+04 
       5.046299117501e-03       1.608088069784e+04 
       5.168010638852e-03       1.636043358850e+04 
       5.289940846335e-03       1.663581028822e+04 
       5.412076448296e-03       1.690703696893e+04 
       5.534405217652e-03       1.717409468745e+04 
       5.656915893244e-03       1.743697745040e+04 
       5.779598091470e-03       1.769572754922e+04 
       5.902442227044e-03       1.795034211748e+04 
       6.025439441855e-03       1.820081348979e+04 
       6.148581541038e-03       1.844716551204e+04 
       6.271860935447e-03       1.868940978298e+04 
       6.395270589839e-03       1.892756275671e+04 
       6.518803976137e-03       1.916163873572e+04 
       6.642455031236e-03       1.939168608284e+04 
